============================================================
QNM Convergence Report
============================================================
Date: 2026-02-07 12:51:41
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 92
  General (Re!=0, Im!=0): 3
  Purely imaginary (Re~0): 87
  Purely real (Im~0): 2

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.1045493908041969e-01     -1.0489571708688096e-01
      8.6116907295361866e-02     -3.4805245485472375e-01
      7.5745858074640238e-02     -6.0107385046016237e-01

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
     2.8537692045013221e-203     -8.1047357461324035e-05
     2.7946086373920289e-202     -7.1170151075092054e-06

------------------------------------------------------------
Purely Imaginary QNMs (Re ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)             Delta Im(omega)
  ──────────────────────────  ──────────────────────────  ──────────────────────────
    -5.9171611774899069e-202     -2.8750286967561920e-04
      6.4702786289346323e-77     -1.9366769581838064e+01      1.9366482078968389e+01
      6.7044040898413814e-76     -1.9616824890921166e+01      2.5005530908310192e-01
      2.4773350997281056e-75     -1.9866812194994221e+01      2.4998730407305558e-01
      5.0566919999889196e-75     -2.0116916777523123e+01      2.5010458252890189e-01
      7.0134340748753516e-76     -2.0366940979923918e+01      2.5002420240079459e-01
     -3.8058097840526850e-74     -2.0616994408763496e+01      2.5005342883957837e-01
     -1.5656006428564835e-73     -2.0867046875727166e+01      2.5005246696366967e-01
     -3.1487064117218154e-73     -2.1117088833997538e+01      2.5004195827037279e-01
     -3.5005909047781425e-74     -2.1367137974011747e+01      2.5004914001420886e-01
      2.0631696407508793e-72     -2.1617182970628281e+01      2.5004499661653412e-01
      7.3382680566368947e-72     -2.1867227161830680e+01      2.5004419120239874e-01
      1.1052180226059850e-71     -2.2117271783769485e+01      2.5004462193880528e-01
     -1.0287002175411120e-71     -2.2367314715269185e+01      2.5004293149969925e-01
     -9.8149523792293454e-71     -2.2617357255747660e+01      2.5004254047847496e-01
     -2.3254709374198959e-70     -2.2867399193593648e+01      2.5004193784598883e-01
     -1.1791115182586424e-70     -2.3117440251593372e+01      2.5004105799972365e-01
      9.3071149422623745e-70     -2.3367480767874355e+01      2.5004051628098267e-01
      3.0928486117709812e-69     -2.3617520627412070e+01      2.5003985953771490e-01
      3.2319577875106821e-69     -2.3867559821478892e+01      2.5003919406682229e-01
     -7.1060923385782822e-69     -2.4117598439800386e+01      2.5003861832149354e-01
     -3.2094974608995707e-68     -2.4367636453293745e+01      2.5003801349335930e-01
     -4.0847504676097293e-68     -2.4617673879321853e+01      2.5003742602810775e-01
