============================================================
QNM Convergence Report
============================================================
Date: 2026-02-07 12:54:31
Tolerance: 1.0e-04
Resolutions: 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 107
  General (Re!=0, Im!=0): 10
  Purely imaginary (Re~0): 96
  Purely real (Im~0): 1

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      2.9293613326728268e-01     -9.7659988913578216e-02
      2.6444865060483252e-01     -3.0625739155904713e-01
      2.2953933493131629e-01     -5.4013342501911887e-01
      2.0325838629259954e-01     -7.8829782294732098e-01
      1.8510904465580166e-01     -1.0407620900822894e+00
      1.7207729125249230e-01     -1.2941202899056652e+00
      1.6222799537585492e-01     -1.5474341611979152e+00
      1.5446254682152860e-01     -1.8004639433347929e+00
      1.4820679205131854e-01     -2.0532365915534716e+00
      1.4267003682331303e-01     -2.3057991681354917e+00

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
    -1.0418631126675189e-202     -5.3486013241201459e-05

------------------------------------------------------------
Purely Imaginary QNMs (Re ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)             Delta Im(omega)
  ──────────────────────────  ──────────────────────────  ──────────────────────────
    -1.9698808141641752e-201     -2.4441663868502621e-04
     2.6064053965078479e-201     -6.3468598604541281e-04      3.9026934736038660e-04
     -1.0257634291733547e-77     -1.9318646810841098e+01      1.9318012124855052e+01
     -1.4168417148293084e-77     -1.9819303737803942e+01      5.0065692696284358e-01
      1.5574959033986861e-76     -2.0069780593821744e+01      2.5047685601780145e-01
      8.2095728468922790e-76     -2.0320058574265442e+01      2.5027798044369831e-01
      2.2016675197435292e-75     -2.0570369084017383e+01      2.5031050975194091e-01
      2.3647345291531097e-75     -2.0820702406740619e+01      2.5033332272323605e-01
     -8.0480622801835264e-75     -2.1070994753673656e+01      2.5029234693303692e-01
     -4.9498863249801404e-74     -2.1321302171995107e+01      2.5030741832145154e-01
     -1.2636375661303243e-73     -2.1571599765876609e+01      2.5029759388150197e-01
     -1.0512435192769092e-73     -2.1821889514338885e+01      2.5028974846227570e-01
      5.0193516011502211e-73     -2.2072178559778202e+01      2.5028904543931674e-01
      2.3973149360622105e-72     -2.2322460748412013e+01      2.5028218863381113e-01
      4.6143342876539775e-72     -2.2572738745704068e+01      2.5027799729205569e-01
     -2.8963919057559593e-73     -2.2823012924493625e+01      2.5027417878955660e-01
     -2.8473438602781196e-71     -2.3073282259983582e+01      2.5026933548995700e-01
     -8.1949466678579167e-71     -2.3323547657624978e+01      2.5026539764139599e-01
     -7.3204856812165220e-71     -2.3573809046519589e+01      2.5026138889461080e-01
      2.4224321235635450e-70     -2.3824066352568558e+01      2.5025730604896879e-01
      1.0200832488871187e-69     -2.4074319880813299e+01      2.5025352824474112e-01
      1.3671526059250481e-69     -2.4324569644010992e+01      2.5024976319769365e-01
     -1.6366649924888755e-69     -2.4574815709893201e+01      2.5024606588220877e-01
     -1.0316310977748941e-68     -2.4825058221304147e+01      2.5024251141094567e-01
     -1.5917441045753756e-68     -2.5075297235864383e+01      2.5023901456023623e-01
      1.0928243036328495e-68     -2.5325532833430092e+01      2.5023559756570890e-01
      9.1208955624326890e-68     -2.5575765109968028e+01      2.5023227653793612e-01
      1.3883290175282609e-67     -2.5825994133998904e+01      2.5022902403087599e-01
     -9.7477669805707440e-68     -2.6076219979968378e+01      2.5022584596947439e-01
     -7.2302386094554897e-67     -2.6326442725926775e+01      2.5022274595839633e-01
     -9.2610803122342419e-67     -2.6576662439386201e+01      2.5021971345942617e-01
      1.0570418459609251e-66     -2.6826879188102190e+01      2.5021674871598876e-01
      5.0288329068850597e-66     -2.7077093040242673e+01      2.5021385214048308e-01
      4.2974378281232516e-66     -2.7327304058979614e+01      2.5021101873694107e-01
     -1.0293074401525198e-65     -2.7577512306021465e+01      2.5020824704185074e-01
     -2.8790737615091677e-65     -2.7827717842457609e+01      2.5020553643614463e-01
     -7.4561487048987020e-66     -2.8077920726487431e+01      2.5020288402982160e-01
      7.7865519623883679e-65     -2.8328121014473957e+01      2.5020028798652660e-01
      1.2003780306410916e-64     -2.8578318761762681e+01      2.5019774728872335e-01
     -7.9321184776816299e-65     -2.8828514021742560e+01      2.5019525997987913e-01
     -4.2456520611048991e-64     -2.9078706846026225e+01      2.5019282428366552e-01
     -2.4646326261170776e-64     -2.9328897285050239e+01      2.5019043902401350e-01
      8.5888014173217574e-64     -2.9579085387766646e+01      2.5018810271640746e-01
      1.4652790800516682e-63     -2.9829271201542991e+01      2.5018581377634419e-01
     -7.6744644530076782e-64     -3.0079454772526073e+01      2.5018357098308286e-01
     -4.1812439604300453e-63     -3.0329636145637902e+01      2.5018137311182898e-01
     -1.6514800770063713e-63     -3.0579815364435451e+01      2.5017921879754823e-01
      8.1671990413479739e-63     -3.0829992471277190e+01      2.5017710684173977e-01
      9.5431177261283205e-63     -3.1080167507443225e+01      2.5017503616603420e-01
     -1.0912267985049020e-62     -3.1330340513054573e+01      2.5017300561134803e-01
     -2.6623277209373640e-62     -3.1580511527104179e+01      2.5017101404960584e-01
      6.2450152981404075e-63     -3.1830680587588990e+01      2.5016906048481147e-01
      5.5251160267361744e-62     -3.2080847731516513e+01      2.5016714392752348e-01
      1.5881762072629156e-62     -3.2331012994874321e+01      2.5016526335780753e-01
     -9.4122660623108598e-62     -3.2581176412707926e+01      2.5016341783360474e-01
     -6.7671733307711891e-62     -3.2831338019191755e+01      2.5016160648382879e-01
      1.3720459261401316e-61     -3.3081497847609718e+01      2.5015982841796358e-01
      1.6012221981802767e-61     -3.3331655930363219e+01      2.5015808275350082e-01
     -1.7544852890518905e-61     -3.3581812299048160e+01      2.5015636868494084e-01
     -2.9936547395602137e-61     -3.3831966984489711e+01      2.5015468544155084e-01
      2.0156507219526401e-61     -3.4082120016720680e+01      2.5015303223096907e-01
      4.8413969913579834e-61     -3.4332271425006624e+01      2.5015140828594440e-01
     -2.1631196319108612e-61     -3.4582421237915575e+01      2.5014981290895122e-01
     -7.0466467023248551e-61     -3.4832569483334815e+01      2.5014824541923986e-01
      2.3331875551559814e-61     -3.5082716188446270e+01      2.5014670511145454e-01
      9.4173676709535835e-61     -3.5332861379756842e+01      2.5014519131057256e-01
     -2.7903088982508771e-61     -3.5583005083168260e+01      2.5014370341141756e-01
     -1.1646751655482906e-60     -3.5833147323986246e+01      2.5014224081798631e-01
      3.8502092483826085e-61     -3.6083288126883161e+01      2.5014080289691520e-01
      1.3289229846230349e-60     -3.6333427515924527e+01      2.5013938904136523e-01
     -5.7195886605915921e-61     -3.6583565514653785e+01      2.5013799872925802e-01
     -1.3779705240270021e-60     -3.6833702146107768e+01      2.5013663145398368e-01
      8.2876657789579194e-61     -3.7083837432748680e+01      2.5013528664091211e-01
      1.2567279315445929e-60     -3.7333971396463994e+01      2.5013396371531371e-01
     -1.0970158033762845e-60     -3.7584104058687885e+01      2.5013266222389063e-01
     -9.3980898034687738e-61     -3.7834235440467857e+01      2.5013138177997263e-01
      1.2761288675751580e-60     -3.8084365562348957e+01      2.5013012188109940e-01
      4.6567272501461208e-61     -3.8334494444264188e+01      2.5012888191523075e-01
     -1.2614320291241008e-60     -3.8584622105684275e+01      2.5012766142008758e-01
      4.8443166724120281e-62     -3.8834748565879543e+01      2.5012646019526841e-01
      1.0073729996368479e-60     -3.9084873843853060e+01      2.5012527797351680e-01
