============================================================
QNM Convergence Report
============================================================
Date: 2026-02-07 12:56:25
Tolerance: 1.0e-04
Resolutions: 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 107
  General (Re!=0, Im!=0): 13
  Purely imaginary (Re~0): 94
  Purely real (Im~0): 0

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      4.8364387221071298e-01     -9.6758775978287859e-02
      4.6385057901976556e-01     -2.9560393698796250e-01
      4.3054405437657578e-01     -5.0855840215427450e-01
      3.9386306288868911e-01     -7.3809658478099749e-01
      3.6129919188737653e-01     -9.7992151947120432e-01
      3.3489953495566388e-01     -1.2284108038615702e+00
      3.1388591405891536e-01     -1.4799545045531328e+00
      2.9697051231575472e-01     -1.7327607700816161e+00
      2.8308663033308651e-01     -1.9860091456439470e+00
      2.7146238294335107e-01     -2.2393322668380424e+00
      2.6155986523244279e-01     -2.4925613352977218e+00
      2.5297312746312922e-01     -2.7456406267609106e+00
      2.4546084965479492e-01     -2.9985713765151916e+00

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
  (none)

------------------------------------------------------------
Purely Imaginary QNMs (Re ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)             Delta Im(omega)
  ──────────────────────────  ──────────────────────────  ──────────────────────────
     4.5582950966880518e-202     -1.5963984792261623e-04
    -3.0567982422839609e-201     -5.1877571382739961e-04      3.5913586590478338e-04
     -1.0918110269351148e-76     -1.9991521648963509e+01      1.9991002873249681e+01
     -3.7438120423758440e-76     -2.0242228989672427e+01      2.5070734070891731e-01
     -6.9450454223886662e-76     -2.0492753583269646e+01      2.5052459359721979e-01
      1.9354918902526141e-76     -2.0743487043159828e+01      2.5073345989018136e-01
      6.3686132231366912e-75     -2.0994082617780670e+01      2.5059557462084214e-01
      2.3643485022867818e-74     -2.1244704094877850e+01      2.5062147709718019e-01
      4.2635339880928430e-74     -2.1495328830812610e+01      2.5062473593476042e-01
     -1.2783763843389394e-74     -2.1745922162695372e+01      2.5059333188276156e-01
     -3.4035424205320204e-73     -2.1996520331173318e+01      2.5059816847794636e-01
     -1.0819598630971032e-72     -2.2247106467454998e+01      2.5058613628167947e-01
     -1.3923457849493469e-72     -2.2497681908465644e+01      2.5057544101064622e-01
      2.2669742885364167e-72     -2.2748252080088989e+01      2.5057017162334461e-01
      1.5326101696510929e-71     -2.2998812661135151e+01      2.5056058104616241e-01
      3.2454246616006362e-71     -2.3249365453237910e+01      2.5055279210275927e-01
      7.4577931601872429e-72     -2.3499911121187107e+01      2.5054566794919708e-01
     -1.5447029344227703e-70     -2.3750448858859606e+01      2.5053773767249865e-01
     -4.5045271110667606e-70     -2.4000979411272393e+01      2.5053055241278699e-01
     -3.7817840859399872e-70     -2.4251502921481297e+01      2.5052351020890384e-01
      1.2590416597695683e-69     -2.4502019340866088e+01      2.5051641938479108e-01
      4.7801140738328306e-69     -2.4752529000388833e+01      2.5050965952274495e-01
      5.2218201206710584e-69     -2.5003032022022929e+01      2.5050302163409555e-01
     -9.5533802293997532e-69     -2.5253528503838293e+01      2.5049648181536455e-01
     -4.2546393223957489e-68     -2.5504018642739275e+01      2.5049013890098237e-01
     -4.7346426051608308e-68     -2.5754502566094537e+01      2.5048392335526160e-01
      7.7244526607998869e-68     -2.6004980394416592e+01      2.5047782832205456e-01
      3.2864922451686114e-67     -2.6255452276278621e+01      2.5047188186202973e-01
      3.0445043645364535e-67     -2.6505918335357126e+01      2.5046605907850505e-01
     -6.6503097026540212e-67     -2.6756378689488603e+01      2.5046035413147649e-01
     -2.1757373464395738e-66     -2.7006833464515040e+01      2.5045477502643720e-01
     -1.1994298593760977e-66     -2.7257282776019323e+01      2.5044931150428340e-01
      5.3520255874314510e-66     -2.7507726734200599e+01      2.5044395818127541e-01
      1.1640824385780477e-65     -2.7758165450709662e+01      2.5043871650906269e-01
