============================================================
QNM Convergence Report
============================================================
Date: 2026-02-15 18:15:25
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 297
  General (Re!=0, Im!=0): 184
  Purely imaginary (Re~0): 72
  Purely real (Im~0): 41

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.0006253539194880e+01     -1.3108938146815500e-04
      1.0006703797201855e+01     -1.3836093151289365e-04
      1.0007178092282523e+01     -1.4585206304714753e-04
      1.0019953300509156e+01     -3.0206628841103424e-04
      9.9852010161179461e+00     -3.2760873058667321e-03
      9.9850420899566092e+00     -3.3296279536947147e-03
      9.9848806930777734e+00     -3.3843272446455641e-03
      9.9847167689553107e+00     -3.4402200174389512e-03
      9.9845502594114883e+00     -3.4973420157756330e-03
      9.9843811046431039e+00     -3.5557297799546847e-03
      9.9842092432752221e+00     -3.6154205730587743e-03
      9.9840346124300350e+00     -3.6764523485895992e-03
      9.9838571477975968e+00     -3.7388637614934515e-03
      9.9836767836964118e+00     -3.8026942198007558e-03
      9.9834934531143489e+00     -3.8679839703946255e-03
      9.9833070877239365e+00     -3.9347742101818756e-03
      9.9831176178695902e+00     -4.0031072132523052e-03
      9.9829249725275631e+00     -4.0730264652524646e-03
      9.9827290792417003e+00     -4.1445767977568203e-03
      9.9825298640395310e+00     -4.2178045174327923e-03
      9.9823272513337447e+00     -4.2927575268662289e-03
      9.9821211638139520e+00     -4.3694854357565352e-03
      9.9819115223330037e+00     -4.4480396626497701e-03
      9.9816982457912662e+00     -4.5284735284056334e-03
      9.9814812510213411e+00     -4.6108423432176353e-03
      9.9812604526747766e+00     -4.6952034892936536e-03
      9.9810357631115778e+00     -4.7816165013402478e-03
      9.9808070922927055e+00     -4.8701431468600133e-03
      9.9805743476752706e+00     -4.9608475080363005e-03
      9.9803374341098436e+00     -5.0537960666984637e-03
      9.9800962537390721e+00     -5.1490577935729091e-03
      9.9798507058967694e+00     -5.2467042427572948e-03
      9.9796006870065632e+00     -5.3468096521234031e-03
