============================================================
QNM Convergence Report
============================================================
Date: 2026-02-15 19:04:19
Tolerance: 1.0e-04
Resolutions: 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 324
  General (Re!=0, Im!=0): 202
  Purely imaginary (Re~0): 79
  Purely real (Im~0): 43

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.0005042071494930e+01     -1.1077945316729798e-04
      1.0005426088336185e+01     -1.1740679046846097e-04
      1.0005831500612262e+01     -1.2425441419222738e-04
      1.0006259173403086e+01     -1.3132272405998283e-04
      1.0006710001881880e+01     -1.3861173371789749e-04
      1.0007184911818291e+01     -1.4612100358683933e-04
      1.0007684859925053e+01     -1.5384956523489010e-04
      1.0017918345637041e+01     -2.8233137362978654e-04
      1.0018927379000257e+01     -2.9250977205141796e-04
      1.0019979942959740e+01     -3.0271127847167269e-04
      1.0021077166351061e+01     -3.1290143352994911e-04
      1.0044766804927963e+01     -4.7775189192169660e-04
      9.9866878812627071e+00     -2.7541834568417202e-03
      9.9865523835156953e+00     -2.7962168718256237e-03
      9.9864148500343237e+00     -2.8392378909630907e-03
      9.9862752325422317e+00     -2.8832544225229910e-03
      9.9861334836427833e+00     -2.9282770696551354e-03
      9.9859895563396410e+00     -2.9743188549004635e-03
      9.9858434036672197e+00     -3.0213950088895753e-03
      9.9856949784017388e+00     -3.0695228031274615e-03
      9.9855442328323836e+00     -3.1187214156370531e-03
      9.9853911185774660e+00     -3.1690118227050059e-03
      9.9852355864341646e+00     -3.2204167122098447e-03
      9.9850775862530341e+00     -3.2729604151479704e-03
      9.9849170668306186e+00     -3.3266688525923141e-03
      9.9847539758151012e+00     -3.3815694957165395e-03
      9.9845882596212299e+00     -3.4376913368364230e-03
      9.9844198633518637e+00     -3.4950648697210304e-03
      9.9842487307242216e+00     -3.5537220777298825e-03
      9.9840748039995759e+00     -3.6136964286378652e-03
      9.9838980239155575e+00     -3.6750228753070270e-03
      9.9837183296205314e+00     -3.7377378616399288e-03
      9.9835356586096804e+00     -3.8018793334899307e-03
      9.9833499466625035e+00     -3.8674867543996277e-03
      9.9831611277814591e+00     -3.9346011261840652e-03
      9.9829691341314675e+00     -4.0032650144695946e-03
      9.9827738959798964e+00     -4.0735225793462546e-03
      9.9825753416366769e+00     -4.1454196112989117e-03
      9.9823733973940598e+00     -4.2190035725600383e-03
      9.9821679874655906e+00     -4.2943236439858075e-03
      9.9819590339238129e+00     -4.3714307775076563e-03
      9.9817464566362286e+00     -4.4503777541626405e-03
      9.9815301731991308e+00     -4.5312192476648196e-03
      9.9813100988688817e+00     -4.6140118934511415e-03
      9.9810861464903216e+00     -4.6988143631212734e-03
      9.9808582264220238e+00     -4.7856874441918182e-03
      9.9806262464581650e+00     -4.8746941251003239e-03
      9.9803901117468037e+00     -4.9658996854211220e-03
      9.9801497247044271e+00     -5.0593717912906814e-03
      9.9799049849266357e+00     -5.1551805960819109e-03
      9.9796557890948421e+00     -5.2533988464119772e-03
      9.9794020308789122e+00     -5.3541019936145006e-03
      9.9791436008356023e+00     -5.4573683108525223e-03
      9.9788803863027482e+00     -5.5632790160923340e-03
      9.9786122712890428e+00     -5.6719184011992645e-03
      9.9783391363592973e+00     -5.7833739674546629e-03
      9.9780608585150681e+00     -5.8977365678287300e-03
      9.9777773110704455e+00     -6.0151005563769165e-03
      9.9774883635228804e+00     -6.1355639451588975e-03
      9.9771938814188346e+00     -6.2592285691093711e-03
      9.9768937262140565e+00     -6.3862002593198129e-03
      9.9765877551282607e+00     -6.5165890252204418e-03
      9.9762758209939886e+00     -6.6505092461828178e-03
      9.9759577720993917e+00     -6.7880798730960189e-03
      9.9756334520246757e+00     -6.9294246405038878e-03
      9.9753026994719320e+00     -7.0746722899277057e-03
      9.9749653480880767e+00     -7.2239568050381535e-03
      9.9746212262805702e+00     -7.3774176593829240e-03
      9.9742701570256358e+00     -7.5352000774220312e-03
      9.9739119576686033e+00     -7.6974553096720516e-03
      9.9735464397160740e+00     -7.8643409228134013e-03
      9.9731734086195143e+00     -8.0360211056716181e-03
      9.9727926635499085e+00     -8.2126669920447454e-03
      9.9724039971630880e+00     -8.3944570014146038e-03
      9.9720071953553049e+00     -8.5815771986503444e-03
      9.9716020370086280e+00     -8.7742216738886016e-03
      9.9711882937257243e+00     -8.9725929438560989e-03
      9.9707657295535377e+00     -9.1769023759884528e-03
      9.9703341006953785e+00     -9.3873706367932023e-03
      9.9698931552109329e+00     -9.6042281660068708e-03
      9.9694426327036361e+00     -9.8277156782052340e-03
      9.9689822639948726e+00     -1.0058084693643899e-02
      9.9685117707844153e+00     -1.0295598100233377e-02
      9.9680308652965177e+00     -1.0540530748689849e-02
      9.9675392499110185e+00     -1.0793170083050639e-02
      9.9670366167788238e+00     -1.1053816808902883e-02
      9.9665226474210815e+00     -1.1322785601846181e-02
      9.9659970123113695e+00     -1.1600405858896002e-02
      9.9654593704401506e+00     -1.1887022495735772e-02
      9.9649093688607469e+00     -1.2182996792942888e-02
      9.9643466422160945e+00     -1.2488707294549241e-02
      9.9637708122454161e+00     -1.2804550762551267e-02
      9.9631814872700488e+00     -1.3130943191260352e-02
      9.9625782616575460e+00     -1.3468320885682969e-02
      9.9619607152631691e+00     -1.3817141608443783e-02
      9.9613284128479211e+00     -1.4177885800116048e-02
      9.9606809034721664e+00     -1.4551057878204635e-02
      9.9600177198639237e+00     -1.4937187620440797e-02
      9.9593383777608899e+00     -1.5336831638497040e-02
      9.9586423752252351e+00     -1.5750574948719082e-02
      9.9579291919301998e+00     -1.6179032647002902e-02
      9.9571982884175458e+00     -1.6622851695523053e-02
      9.9564491053248787e+00     -1.7082712829647639e-02
      9.9556810625819168e+00     -1.7559332594060950e-02
      9.9548935585747564e+00     -1.8053465517862192e-02
      9.9540859692772532e+00     -1.8565906439223706e-02
      9.9532576473486500e+00     -1.9097492991081929e-02
      9.9524079211966630e+00     -1.9649108260305748e-02
      9.9515360940052897e+00     -2.0221683633848731e-02
      9.9506414427267185e+00     -2.0816201846552727e-02
      9.9497232170367926e+00     -2.1433700246540711e-02
      9.9487806382536768e+00     -2.2075274295527903e-02
      9.9478128982194818e+00     -2.2742081322904464e-02
      9.9468191581448764e+00     -2.3435344554114550e-02
      9.9457985474168726e+00     -2.4156357435690508e-02
