============================================================
QNM Convergence Report
============================================================
Date: 2026-02-14 12:18:06
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 447
  General (Re!=0, Im!=0): 60
  Purely imaginary (Re~0): 84
  Purely real (Im~0): 303

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.4226268923843619e+00      3.4602209545890741e-04
      1.4217326517379656e+00      1.5174805274964552e-04
      1.4214960764737896e+00      1.2459460490282478e-04
      1.4213024963713619e+00      1.0382772301357067e-04
      1.4213036846602027e+00     -1.0563646408561408e-04
      1.4191163205830843e+00     -1.0612419436156087e-04
      1.4190710896684759e+00     -1.1440986223315425e-04
      1.4200165198659895e+00     -1.1743844219963734e-04
      1.4190223156553017e+00     -1.2357810740709971e-04
      1.4189696209154408e+00     -1.3374922802411918e-04
      1.4213914788385653e+00     -1.3846234012433617e-04
      1.4189125764745434e+00     -1.4506367434494107e-04
      1.4188506934609777e+00     -1.5768608439985869e-04
      1.4200754973466307e+00     -1.6972862542709606e-04
      1.4187834128590311e+00     -1.7181026652552745e-04
      1.4214858083485791e+00     -1.7901523346022216e-04
      1.4187100931741459e+00     -1.8766538515388974e-04
      1.4186299955138433e+00     -2.0552368536414881e-04
      1.4201568975732037e+00     -2.2202157012734370e-04
      1.4185422654525277e+00     -2.2571019845308307e-04
      1.4215868801079954e+00     -2.2853898542285622e-04
      1.4217936229055812e+00     -2.3947796139468319e-04
      1.4184459108710288e+00     -2.4861501590773183e-04
      1.4202606503048456e+00     -2.7342044342816877e-04
      1.4183397747279711e+00     -2.7470891815820075e-04
      1.4216948338910418e+00     -2.8848618246180116e-04
      1.4182225014097980e+00     -3.0456341978567762e-04
      1.4203865231504824e+00     -3.2241658196585578e-04
      1.4180924948914180e+00     -3.3887667732542513e-04
      1.4218097008283661e+00     -3.6053956411539144e-04
      1.4205338686880078e+00     -3.6666068286447524e-04
      1.4179478663805425e+00     -3.7850724809898416e-04
      1.4207015078732859e+00     -4.0264436713307087e-04
      1.4177863683598659e+00     -4.2451846152862373e-04
      1.4219313571824872e+00     -4.4663082708147156e-04
      1.4176053109022702e+00     -4.7823727866719290e-04
      1.4174014546998133e+00     -5.4133314102042739e-04
      1.4220594687849306e+00     -5.4895800076457254e-04
      1.4171708732496027e+00     -6.1592471059652390e-04
      1.4169087738326949e+00     -7.0472599739381610e-04
      1.4166092629422680e+00     -8.1124882896325685e-04
      1.4162650361229565e+00     -9.4008703372935594e-04
      1.4158669639628132e+00     -1.0973209031782726e-03
      1.4154035340106954e+00     -1.2911015445689763e-03
      1.4148600908306828e+00     -1.5325089503034637e-03
      1.4142177904754407e+00     -1.8368343773910859e-03
      1.4134521472269659e+00     -2.2255339225774316e-03
      1.4125309935057540e+00     -2.7292675005024972e-03
      1.4114115901123050e+00     -3.3927359788033695e-03
      1.4100365034030984e+00     -4.2825777972150415e-03
      1.4083277006172741e+00     -5.5006283392490460e-03
      1.4061781123710142e+00     -7.2069013532417093e-03
      1.4034397396871561e+00     -9.6608970170664193e-03
      1.3999074933371300e+00     -1.3299112273055679e-02
      1.3952991237503167e+00     -1.8888398381382336e-02
      1.3892360056375406e+00     -2.7851198355668075e-02
      1.3812423248753880e+00     -4.3026293784507334e-02
      1.3708029103079471e+00     -7.0735837064033608e-02
      1.3573376449565571e+00     -1.2798729325824010e-01
      1.3321187946561515e+00     -2.8188340888261693e-01

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.4191583418479998e+00     -9.8617671777977248e-05
      1.4191974487647565e+00     -9.1801039529556397e-05
      1.4192339035843426e+00     -8.5597008588654677e-05
      1.4192679398302350e+00     -7.9938429374355453e-05
      1.4192997659785136e+00     -7.4766776413583404e-05
      1.4193295686016130e+00     -7.0030885879515637e-05
      1.4193575150628934e+00     -6.5685899596180770e-05
      1.4193837558336364e+00     -6.1692378355464057e-05
      1.4194084264915365e+00     -5.8015554662325055e-05
      1.4194316494495909e+00     -5.4624700761766239e-05
      1.4194535354560338e+00     -5.1492592351892262e-05
      1.4194741848992170e+00     -4.8595052013746688e-05
      1.4194936889458081e+00     -4.5910559291335825e-05
      1.4195121305361342e+00     -4.3419916688826401e-05
      1.4195295852567458e+00     -4.1105962735764285e-05
      1.4195461221071621e+00     -3.8953324798089531e-05
      1.4195618041751759e+00     -3.6948205555144370e-05
      1.4195766892329447e+00     -3.5078198077575452e-05
      1.4195908302642821e+00     -3.3332125272746541e-05
      1.4196042759320600e+00     -3.1699900148377294e-05
      1.4196170709933513e+00     -3.0172403909700979e-05
      1.4196292566688751e+00     -2.8741379372886358e-05
      1.4196408709723856e+00     -2.7399337565722953e-05
      1.4196519490048904e+00     -2.6139475710024542e-05
      1.4196625232179112e+00     -2.4955605050471579e-05
      1.4196726236494488e+00     -2.3842087221080869e-05
      1.4196822781358351e+00     -2.2793778030783117e-05
      1.4196915125022413e+00     -2.1805977709913131e-05
      1.4197003507342605e+00     -2.0874386794844845e-05
      1.4197088151326800e+00     -1.9995066942688654e-05
      1.4197169264532978e+00     -1.9164406065327106e-05
      1.4197247040334067e+00     -1.8379087254911078e-05
      1.4197321659063802e+00     -1.7636061043598536e-05
      1.4197393289056190e+00     -1.6932520600720160e-05
      1.4197462087589710e+00     -1.6265879522301978e-05
      1.4197528201746072e+00     -1.5633751912300239e-05
      1.4197591769192277e+00     -1.5033934493122016e-05
      1.4197652918893648e+00     -1.4464390515950588e-05
      1.4197711771764749e+00     -1.3923235269849997e-05
      1.4197768441264267e+00     -1.3408723013247858e-05
      1.4197823033939281e+00     -1.2919235172744459e-05
      1.4197875649923819e+00     -1.2453269672739018e-05
      1.4197926383395987e+00     -1.2009431275497966e-05
      1.4197975322997578e+00     -1.1586422825352317e-05
      1.4198022552219638e+00     -1.1183037302988563e-05
      1.4198068149757086e+00     -1.0798150606533848e-05
