============================================================
QNM Convergence Report
============================================================
Date: 2026-04-02 19:39:15
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 414
  General (Re!=0, Im!=0): 70
  Purely imaginary (Re~0): 48
  Purely real (Im~0): 296

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      2.0038011937703364e+00      1.5289111255408527e-03
      2.0032848400394800e+00      1.1381207249632995e-03
      2.0028849432343927e+00      9.4520554777987220e-04
      2.0025494859162425e+00      7.9301112531604415e-04
      2.0022646261449171e+00      6.7261275523695929e-04
      2.0020207483563861e+00      5.7590456890770612e-04
      2.0018104186521364e+00      4.9717258429721070e-04
      2.0016278300717416e+00      4.3233070282601264e-04
      2.0014683474777670e+00      3.7834081867430019e-04
      2.0013283341780088e+00      3.3307126353787403e-04
      2.0012048468941934e+00      2.9460931813776275e-04
      2.0010951837115569e+00      2.6186367721416938e-04
      2.0009978098515124e+00      2.3399273291514289e-04
      2.0009110970044790e+00      2.0960227655652906e-04
      2.0008329903971100e+00      1.8809524080836302e-04
      2.0007623295455645e+00      1.6974324336591372e-04
      2.0006989558548423e+00      1.5424031732772211e-04
      2.0006422925071878e+00      1.4059908736262501e-04
      2.0005913166242131e+00      1.2818419363860162e-04
      2.0005451222849211e+00      1.1675332411900594e-04
      2.0005030225450930e+00      1.0621347029274128e-04
      2.0005060170063338e+00     -1.0608599230740272e-04
      2.0005477860820831e+00     -1.1635295664368393e-04
      2.0005936553623962e+00     -1.2747359754682988e-04
      2.0006443363559598e+00     -1.3956342444431514e-04
      2.0007007454690942e+00     -1.5294390064436231e-04
      2.0007637763388888e+00     -1.6837702425291811e-04
      2.0008337194903283e+00     -1.8671225626345388e-04
      2.0009108501351656e+00     -2.0790520515763438e-04
      2.0009966150831047e+00     -2.3177787091715617e-04
      2.0010929756262081e+00     -2.5917435945219390e-04
      2.0012012836011457e+00     -2.9139660645014946e-04
      2.0013231367431130e+00     -3.2907909273139393e-04
      2.0014612334550215e+00     -3.7339366218271759e-04
      2.0016183459644177e+00     -4.2615498214011635e-04
      2.0017980413883594e+00     -4.8937848364217834e-04
      2.3597888299347995e+00     -6.8481057532850109e-02
      2.3428898014808235e+00     -2.0711768793288549e-01
      2.3096551028400456e+00     -3.5084173412989211e-01
      2.2614434240073287e+00     -5.0314977022150287e-01
      2.2007252577950864e+00     -6.6733757630873147e-01
      2.1311624724030223e+00     -8.4586451505216820e-01
      2.0571401432510408e+00     -1.0396653449971829e+00
      1.9828476593400775e+00     -1.2479306807715866e+00
      1.9114533211102351e+00     -1.4685608971106774e+00
      1.8448117205731451e+00     -1.6989473239439363e+00
