============================================================
QNM Convergence Report
============================================================
Date: 2026-04-01 19:26:11
Tolerance: 1.0e-04
Resolutions: 180, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 245
  General (Re!=0, Im!=0): 76
  Purely imaginary (Re~0): 0
  Purely real (Im~0): 169

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      2.2061075618846355e+00      4.8545111781323841e-04
      2.2051782068012900e+00      4.0696334832173115e-04
      2.2044431251827694e+00      3.2963917987643314e-04
      2.2038494161400299e+00      2.7188582110330728e-04
      2.1998669824668382e+00     -1.0208152792023594e-04
      2.2027386581118513e+00     -1.2507959444389154e-04
      2.1983503961371089e+00     -1.6127355316394474e-04
      2.1998328461552075e+00     -1.6770229538257315e-04
      2.2028950069430246e+00     -1.6773108365939748e-04
      2.1998266216759088e+00     -1.7767488835167703e-04
      2.1998198137477112e+00     -1.8806433968555461e-04
      2.1999125803920894e+00     -1.9753332973246579e-04
      2.1998123753803065e+00     -1.9887316217505506e-04
      2.1998042566396161e+00     -2.1010499487086778e-04
      2.1982899282404680e+00     -2.2077945161682859e-04
      2.2030620458593786e+00     -2.2130378364657523e-04
      2.1997954025570090e+00     -2.2176372195377593e-04
      2.1982273535110193e+00     -2.3940724918903881e-04
      2.1983266021756718e+00     -2.4210244746198867e-04
      2.1981616869691001e+00     -2.5271603685600148e-04
      2.1980921447045816e+00     -2.6727163333602460e-04
      2.1980186198878413e+00     -2.8295514591813130e-04
      2.2032397890908508e+00     -2.8699702584861496e-04
      2.1984000412864688e+00     -2.9356134564654905e-04
      2.1979407941524696e+00     -2.9988483025060339e-04
      2.1978583285726376e+00     -3.1818628001113259e-04
      2.1999777987916889e+00     -3.2331180996276326e-04
      2.1977708499762625e+00     -3.3800063479671099e-04
      2.1976779472585535e+00     -3.5948674170948811e-04
      2.2034284731345903e+00     -3.6634254907564674e-04
      2.1975791666866624e+00     -3.8282378676311702e-04
      2.1974740065367984e+00     -4.0821438330389660e-04
      2.1973619109353977e+00     -4.3588820501859352e-04
      2.1972422627684898e+00     -4.6610627367261315e-04
      2.1971143754965499e+00     -4.9916603656759801e-04
      2.1969774836799241e+00     -5.3540740017611610e-04
      2.1968307319805209e+00     -5.7521992607523068e-04
      2.1966731623571900e+00     -6.1905144554500239e-04
      2.1965036991128111e+00     -6.6741841315556599e-04
      2.1963211313777693e+00     -7.2091840149438426e-04
      2.1961240925235894e+00     -7.8024524443081114e-04
      2.1959110358874021e+00     -8.4620747242562615e-04
      2.1956802060466796e+00     -9.1975086043065771e-04
      2.1954296047065864e+00     -1.0019861405719591e-03
      2.1951569500394097e+00     -1.0942232368070463e-03
      2.1948596280338810e+00     -1.1980137829345437e-03
      2.1945346340549077e+00     -1.3152042246199248e-03
      2.1941785023592124e+00     -1.4480025307652212e-03
      2.1937872207307074e+00     -1.5990625205805911e-03
      2.1933561266531818e+00     -1.7715911511901620e-03
      2.1928797804772096e+00     -1.9694859517458067e-03
      2.1923518097977368e+00     -2.1975123444508086e-03
      2.1917647176530299e+00     -2.4615341691302732e-03
      2.1911096450730723e+00     -2.7688157827227889e-03
      2.1903760758021669e+00     -3.1284213219255506e-03
      2.1895514675131476e+00     -3.5517471317218652e-03
      2.1886207892912570e+00     -4.0532385633204760e-03
